Emotion,keywords
sadness,sooo sad rt   soooooo famus drum majors died performance yesterday
joy,delighted turnout spectators general organisations local authorities 
fear,secret thats secret: im terrified getting endoscopy time come
anger,’ believe  things happening  ’ anymore  let car 
fear,once ten remember mother angry fainted suddenly scared know 
sadness,completely know feel rt   sad day got denied indoor ruined life like 2 weeks
surprise,looked nonplussed 
anger,robyn leant door office found experiencing old  familiar surge deep annoyance 
fear,experience fear people fighting social night relative involved fear greatly assaulted badly
surprise,bestttttttest best friend worldlt3 thank u party   love u soo #bff #foreverandever
joy,rt  shit pants pure 100% gravy
fear,remember form 2 teacher fierce dogmatic feet tremble saw face fact class
fear,  quotplayers like jay there pinch punch grab conkers twist nipples pull hairsquot looked u horror
neutral,hello 
sadness,felt sad dear friend needed training school failure number subjects simply know do
sadness,like blanket cocoa movie computer cubicle bye bye vacation besets me
sadness,sorry  darling  forgot 
joy,home checking mom know look forward to: surgery arthritis beginnings of
anger,tell  
anger,’ exactly 
surprise,big bro joe home
joy,niece bad shit 
joy,happy baby cry easily upset 
disgust,county lost league games baseball ground  prompted disgruntled supporters resignation manager arthur cox 
joy,found place looking long time
joy,phew glad physics/chemistry year :)
sadness,walking dark stepping paper + instantly realizing stepped gaga poster
surprise,estar en fotografía mirar la clse de volumen ver una chica con la camiseta rosa     quien coño es
shame, re ashamed contribution relationship  
fear,    : au contraire vu que la redevance sapplique au contenu obtenu légalement faut laugmenter
joy,going bed act morning
sadness,  yayy way foh foh:))) gosh miss much im def coming visit someday
anger,mrs friar looked offended continued 
fear,rt     okay den dont scared lol
surprise,national kiss day tommorow   #xahahahahhahahah
surprise,picking celery carrots bag veggies
surprise,random acts kindness day better
sadness,hate frees tod like
surprise,time good mood day:) actually got parents
fear,says #weakness think normal humans gods  scared mistakes experience u grow
anger,stupid stupid stupid
surprise,    figured out yay me however grams totally dark
anger,mother cross feel stupid 
fear,felt fear sat exams fear justifiable remember it
joy,eating lunch caf
joy,begin hours packing cleaning procrastinate hours rush pack clean hour #goodplan
sadness,soo tired want     leave
surprise,said vacation   everyday surprise visit office #fail
sadness,day time robbery house
anger,quotif patient moment anger escape days sorrowquot
sadness, night big argument ann 
anger,ev ans miffed comments openly wondered bennett nt respect 
anger,oh  god  ive cheated 
anger,oh   thought bit strange 
fear,guitars lot years togetherhad decided fell night seeing paranormal activity #scaredtodeath
surprise,24 states energy efficiency policies yes  tx ar nc va md no ga tn ms la fl sc ky #no
sadness,bed home comfy school #sleepy
fear,  amazing show thnx         4 great show
sadness,blowing saying wrong things realized hurt person myself
joy,felt happy accepted university studies expected ill exams
joy,gma says ginger ale says ale 
sadness,  jealous bought new amp cant read till friday @ 5
sadness,living room 2 days straight lol
neutral,ok 
fear,reseda riot   win tomorrow
fear,point  according informant  looked absolutely horrified said :  oh  prime minister 
fear,beginsthe countdown possibility almostnew life
fear,nearly beaten brother girlfriend
sadness,  ciaoo lt3 yes adesso sono appena partita da mestretra poco meno di ore sono trieste spero ^^ come va con te
anger,aspirations professions  students   element  rose  exasperation continuing official inefficiency  corruption oppression 
neutral,yeah 
sadness,gonna nap found homework 
joy,set 3 hour train journey lichfield
fear,age 16 gone film nearby village 8 kms home started walking bus cross hills dark identify path half way started raining shelter ran kms reach home
fear,looked like crowd frightened children 
surprise,“  moment youre drunk find shreddin whis tomorrow #lovethislife”givee life right
joy,id delighted  john  saturday 
joy,weeks filled putting nose book dates library
surprise,  hahahah oh life thats yonks lol oh well :) hahaha funnyyy sorry beig weird hahaaa
fear,feel like im missing things age hope though
neutral,think 
fear,“  afraid tomorrow seen yesterday love today #less”
joy,11 days new site relaunch heart
joy,sick period time
joy,abercrombie came street: said recruiting amp want work them best evening ever
sadness,ill coming hostel felt sad leaving home
surprise,scorgasm debut wednesday 11/30/11  telling person tipping nice cock jump ball
anger,ugh i left my favorite plastic headband fields  gt:(
sadness,rip gary speed thoughts wife kids
joy,dear outoftune whistler internal red red #rage kindly refrain #work
sadness,  would final official dress rehearsal monday think theyd it
joy,getting close 2 ur bday hope 2c u smile day brings wen ur wishes cum true
joy,finished damn assignments hour half spare goodnight twitter cat nap hours
joy,love instantly guys demeanor changes realizes 20
surprise,  hahahaha ben jij zo lief om je buurjongen te helpen
anger,slightly addicted skyrim need kill stuff #violence
sadness, harry  re going miserable measure like 
anger,girlfriend left guy knew wrong
joy,gay agenda 4 weekend: fri=art sat=christmas party    sun=17th birthday celebration w/son    2steppin #fb
fear,prefer talk itim liar fraud people feel afraid everything amp #truth
sadness,im sorry  were booked friday 
surprise,ik loop vast op mn omdat ik juiste materiaal niet heb om verder te kunnen #jammer
fear,cycling past parked car opened door nearly pushed bike traffic
anger,arranged friend carinthia car arranged place meet bit late friend left already money train nearly started cry angry  important carinthia
neutral,im tired 
joy,watched saw v (yeah taking advantage fact   taken collection yet) watch saw vi
anger,want dress asos petite range :(
fear,“  afraid tomorrow seen yesterday love today #less” love this
sadness,  love too weekend :(
anger,admit feel like monster
disgust,happy cheerful fedup  frustrated  angry  disappointed hurt inside  like real people 
sadness,friends died other died car accident second recently illness
sadness,thin  brown man brass stud neck striped shirt sad expression point tears 
surprise,presents tree already like
sadness,soccer team 
anger,brother: riding clothes like everyday literally me: yes brother: ride horses everyday do work
joy,excited week la jolla week dads familycant waitlt3 #family
anger,school teacher allowing new years eve class trip overseas
fear,god shine grace mercy oddly looking lady thats cut hair great clips
surprise,turkey head feet mom know opened it best thanksgiving morning #gobblegobble
joy,important moment volleyball game point set stronger competitor
joy,watching china winning asian olympic games
neutral,checked 
surprise,seeing picture think theyre 6 feet tall catch glimpse real life theyre barely 5
sadness,gotta start paying attention missed 1400th tweet
sadness,yeaahh im feelin hot today im thinkin bed gunna today arg wanna sick
joy,early finish project
sadness,saw newspapers tv magazines chaotic situation caused drought hunger mauritania
fear,plays huge lives affects different parts being crucial ignore fear n #faith
surprise,  leeampyaf training far know im writing essay unaware vens plans 7/12 im teverlasses
joy,sitting acting like realized need resume
joy,succeded establishing contact girl (who girlfriend)
surprise,chambers shot look astonishment  turned include nora
joy,sitting standard 8 exams second time 1979 great joy heard successful examination results out
fear,  tells weve sacrificed others tells time 2 worry future #xa#xaluke 9:3
fear,funny guys abroad medical treatment quot  #pakistan pres stable condition dubai hospital
joy,find moments love birds feeder things happy
sadness,sorry  need receipt refund 
joy,went marylous neal shawn ethan student council shitloads homework
neutral,think 
surprise,  aggie cracking jokes class
anger,depressed 
joy,football big deal high school joyous schools team conference championship year
anger,currently taking cs 50p finish couple assignments hindered passing score program
surprise,despite negative outer layer vile moods actually hate
surprise,  trusten ik zit morgen met mn neus bovenop de picas     en de rest
neutral,yes  
anger,blake looked exasperated face doctor   computer predict m going 
